IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.167.220,443,443,true,FRA,Europe,Frankfurt,290,5.32
64.110.88.200,8443,80,false,ICN,Asia Pacific,Seoul,107,5.31
141.148.238.251,443,443,true,FRA,Europe,Frankfurt,260,5.30
89.168.72.209,443,443,true,FRA,Europe,Frankfurt,299,5.28
130.61.194.169,443,443,true,FRA,Europe,Frankfurt,463,5.27
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,70,5.26
141.147.109.75,443,443,true,FRA,Europe,Frankfurt,268,5.26
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,105,5.24
143.47.228.237,443,443,true,FRA,Europe,Frankfurt,260,5.24
130.162.167.231,443,443,true,FRA,Europe,Frankfurt,263,5.23
89.168.94.147,443,443,true,FRA,Europe,Frankfurt,252,5.22
141.147.70.57,443,443,true,FRA,Europe,Frankfurt,268,5.21
158.179.206.143,443,443,true,ARN,Europe,Stockholm,291,5.21
158.180.41.133,443,443,true,FRA,Europe,Frankfurt,247,5.18
129.151.152.254,80,80,false,AMS,Europe,Amsterdam,93,5.15
132.145.64.7,443,443,true,FRA,Europe,Frankfurt,298,5.14
158.101.201.229,443,443,true,FRA,Europe,Frankfurt,261,5.14
158.180.37.191,443,443,true,FRA,Europe,Frankfurt,247,5.13
158.180.45.186,443,443,true,FRA,Europe,Frankfurt,249,5.08
132.145.241.215,443,443,true,FRA,Europe,Frankfurt,279,5.08
152.70.48.218,443,443,true,FRA,Europe,Frankfurt,254,5.06
144.21.40.78,443,443,true,FRA,Europe,Frankfurt,257,5.05
144.24.166.51,443,443,true,FRA,Europe,Frankfurt,247,5.02
144.24.173.72,443,443,true,FRA,Europe,Frankfurt,249,5.00
158.101.221.126,443,443,true,FRA,Europe,Frankfurt,255,4.99
130.162.187.86,443,443,true,FRA,Europe,Frankfurt,288,4.99
158.180.12.82,443,443,true,FRA,Europe,Frankfurt,263,4.98
152.70.61.70,443,443,true,FRA,Europe,Frankfurt,254,4.96
132.226.212.68,443,443,true,FRA,Europe,Frankfurt,276,4.96
141.148.226.198,443,443,true,FRA,Europe,Frankfurt,254,4.94
143.47.232.147,443,443,true,FRA,Europe,Frankfurt,269,4.94
141.147.73.142,443,443,true,FRA,Europe,Frankfurt,268,4.93
