IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.91.58,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,19067 kB/s
47.76.204.76,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,17608 kB/s
8.217.127.73,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,17188 kB/s
47.243.173.187,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,15044 kB/s
8.210.101.157,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,14876 kB/s
8.210.3.24,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,14862 kB/s
47.242.17.250,2083,true,HKG,Asia Pacific,Hong Kong,57 ms,14858 kB/s
8.210.65.1,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,14610 kB/s
8.218.53.110,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,14335 kB/s
8.218.142.253,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,13499 kB/s
8.210.34.188,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,13130 kB/s
8.217.145.40,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,13026 kB/s
47.242.157.96,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,12888 kB/s
8.210.207.214,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,12866 kB/s
47.243.27.217,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,12822 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,77 ms,12027 kB/s
8.218.204.128,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,11879 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,11721 kB/s
47.242.171.94,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,11709 kB/s
8.210.245.224,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,11638 kB/s
8.217.232.246,8443,true,HKG,Asia Pacific,Hong Kong,70 ms,11435 kB/s
8.210.119.11,2083,true,HKG,Asia Pacific,Hong Kong,67 ms,11421 kB/s
47.243.74.220,8443,true,HKG,Asia Pacific,Hong Kong,54 ms,11179 kB/s
8.218.122.55,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,10873 kB/s
47.76.33.40,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,10797 kB/s
47.242.54.157,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,10787 kB/s
47.242.232.14,2053,true,HKG,Asia Pacific,Hong Kong,83 ms,10760 kB/s
47.243.139.243,2096,true,HKG,Asia Pacific,Hong Kong,67 ms,10738 kB/s
47.242.234.127,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,10570 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,10487 kB/s
8.217.250.222,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,10482 kB/s
8.210.245.224,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,10468 kB/s
8.217.121.207,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,10435 kB/s
8.217.250.222,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,10353 kB/s
47.243.42.219,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,10214 kB/s
47.242.202.230,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,9976 kB/s
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,67 ms,9881 kB/s
